location,date,new_cases
China,2019-12-31,27.0
China,2020-01-01,0.0
China,2020-01-02,0.0
China,2020-01-03,17.0
China,2020-01-04,0.0
China,2020-01-05,15.0
China,2020-01-06,0.0
China,2020-01-07,0.0
China,2020-01-08,0.0
China,2020-01-09,0.0
China,2020-01-10,0.0
China,2020-01-11,0.0
China,2020-01-12,0.0
China,2020-01-13,0.0
China,2020-01-14,0.0
China,2020-01-15,0.0
China,2020-01-16,0.0
China,2020-01-17,4.0
China,2020-01-18,17.0
China,2020-01-19,136.0
China,2020-01-20,19.0
China,2020-01-21,151.0
China,2020-01-22,140.0
China,2020-01-23,97.0
China,2020-01-24,259.0
China,2020-01-25,441.0
China,2020-01-26,665.0
China,2020-01-27,787.0
China,2020-01-28,1753.0
China,2020-01-29,1466.0
China,2020-01-30,1740.0
China,2020-01-31,1980.0
China,2020-02-01,2095.0
China,2020-02-02,2590.0
China,2020-02-03,2812.0
China,2020-02-04,3237.0
China,2020-02-05,3872.0
China,2020-02-06,3727.0
China,2020-02-07,3160.0
China,2020-02-08,3418.0
China,2020-02-09,2607.0
China,2020-02-10,2974.0
China,2020-02-11,2490.0
China,2020-02-12,2028.0
China,2020-02-13,15141.0
China,2020-02-14,4156.0
China,2020-02-15,2538.0
China,2020-02-16,2007.0
China,2020-02-17,2052.0
China,2020-02-18,1890.0
China,2020-02-19,1750.0
China,2020-02-20,394.0
China,2020-02-21,891.0
China,2020-02-22,826.0
China,2020-02-23,647.0
China,2020-02-24,218.0
China,2020-02-25,515.0
China,2020-02-26,410.0
China,2020-02-27,439.0
China,2020-02-28,329.0
China,2020-02-29,428.0
China,2020-03-01,574.0
China,2020-03-02,205.0
China,2020-03-03,127.0
China,2020-03-04,119.0
China,2020-03-05,117.0
China,2020-03-06,170.0
China,2020-03-07,101.0
China,2020-03-08,46.0
China,2020-03-09,45.0
China,2020-03-10,20.0
China,2020-03-11,29.0
China,2020-03-12,24.0
China,2020-03-13,22.0
China,2020-03-14,19.0
China,2020-03-15,22.0
China,2020-03-16,25.0
China,2020-03-17,43.0
China,2020-03-18,23.0
China,2020-03-19,44.0
China,2020-03-20,99.0
China,2020-03-21,52.0
China,2020-03-22,65.0
China,2020-03-23,138.0
China,2020-03-24,69.0
China,2020-03-25,78.0
China,2020-03-26,102.0
China,2020-03-27,94.0
China,2020-03-28,119.0
China,2020-03-29,113.0
China,2020-03-30,98.0
China,2020-03-31,84.0
China,2020-04-01,54.0
China,2020-04-02,100.0
